batch_index,patient_id,modality,label,label_name,image_path,shape,min,max,mean,std,nonzero_fraction
10,BraTS20_Training_003,FLAIR,2,FLAIR,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_003/BraTS20_Training_003_flair.nii,96x96x96,-4.269115447998047,5.538971900939941,-2.0185554205909284e-07,0.9121338725090027,0.8319882993344907
11,BraTS20_Training_003,T1CE,3,T1CE,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_003/BraTS20_Training_003_t1ce.nii,96x96x96,-4.038878917694092,15.006893157958984,-2.1054789556274045e-07,0.9121339917182922,0.8319882993344907
12,BraTS20_Training_005,T1,0,T1,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_005/BraTS20_Training_005_t1.nii,96x96x96,-3.7332329750061035,3.3648648262023926,-2.337274764840913e-07,0.9392374753952026,0.8821671097366898
13,BraTS20_Training_005,T2,1,T2,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_005/BraTS20_Training_005_t2.nii,96x96x96,-2.215582847595215,5.569751262664795,-8.0300701199576e-08,0.9392248392105103,0.8821433738425926
14,BraTS20_Training_005,FLAIR,2,FLAIR,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_005/BraTS20_Training_005_flair.nii,96x96x96,-3.1191673278808594,10.77822208404541,-1.4597618758216413e-07,0.9392254948616028,0.8821445041232638
15,BraTS20_Training_005,T1CE,3,T1CE,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_005/BraTS20_Training_005_t1ce.nii,96x96x96,-3.504920482635498,15.091424942016602,-8.847564458847046e-08,0.9392374753952026,0.8821671097366898
16,BraTS20_Training_006,T1,0,T1,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_006/BraTS20_Training_006_t1.nii,96x96x96,-3.9802489280700684,3.369185209274292,3.5321271241173235e-08,0.9469343423843384,0.8966844346788194
17,BraTS20_Training_006,T2,1,T2,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_006/BraTS20_Training_006_t2.nii,96x96x96,-2.196925163269043,5.077838897705078,9.823728674973609e-08,0.9469241499900818,0.8966652199074074
18,BraTS20_Training_006,FLAIR,2,FLAIR,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_006/BraTS20_Training_006_flair.nii,96x96x96,-2.1341164112091064,5.012065887451172,1.4563126171651675e-07,0.9469311833381653,0.8966787832754629
19,BraTS20_Training_006,T1CE,3,T1CE,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_006/BraTS20_Training_006_t1ce.nii,96x96x96,-3.819810390472412,10.181272506713867,-1.3742182147780113e-07,0.946934163570404,0.8966844346788194
